ano;categoria_principal;produto;quantidade
1970;Vinho de Mesa;VINHO DE MESA;217208604
1970;Outros;Tinto;174224052
1970;Outros;Branco;748400
1970;Outros;Rosado;42236152
1970;Vinho Fino de Mesa;VINHO FINO DE MESA (VINIFERA);23899346
1970;Outros;Tinto;7591557
1970;Outros;Branco;15562889
1970;Outros;Rosado;744900
1970;Suco;SUCO;1097771
1970;Outros;Suco de uva integral;1097771
1970;Outros;Suco de uva concentrado;0
1970;Outros;Suco de uva adoçado;0
1970;Outros;Suco de uva orgânico;0
1970;Outros;Suco de uva reconstituído;0
1970;Derivados;DERIVADOS;14164329
1970;Outros;Espumante;0
1970;Outros;Espumante moscatel;0
1970;Outros;Base espumante;0
1970;Outros;Base espumante moscatel;0
1970;Outros;Base Champenoise champanha;0
1970;Outros;Base Charmat champanha;0
1970;Outros;Bebida de uva;0
1970;Outros;Polpa de uva;0
1970;Outros;Mosto simples;7170736
1970;Outros;Mosto concentrado;0
1970;Outros;Mosto de uva com bagaço;0
1970;Outros;Mosto dessulfitado;0
1970;Outros;Mistelas;1072100
1970;Outros;Néctar de uva;0
1970;Outros;Licorosos;282500
1970;Outros;Compostos;0
1970;Outros;Jeropiga;0
1970;Outros;Filtrado;0
1970;Outros;Frisante;0
1970;Outros;Vinho leve;0
1970;Outros;Vinho licoroso;0
1970;Outros;Brandy;0
1970;Outros;Destilado;830030
1970;Outros;Bagaceira;961290
1970;Outros;Licor de bagaceira;0
1970;Outros;Vinagre;0
1970;Outros;Borra líquida;3847673
1970;Outros;Borra seca;0
1970;Outros;Vinho Composto;0
1970;Outros;Pisco;0
1970;Outros;Vinho orgânico;0
1970;Outros;Espumante orgânico;0
1970;Outros;Destilado alcoólico simples de bagaceira;0
1970;Outros;Vinho acidificado;0
1970;Outros;Mosto parcialmente fermentado;0
1970;Outros;Outros derivados;0
1971;Vinho de Mesa;VINHO DE MESA;154264651
1971;Outros;Tinto;121133369
1971;Outros;Branco;1160500
1971;Outros;Rosado;31970782
1971;Vinho Fino de Mesa;VINHO FINO DE MESA (VINIFERA);23586062
1971;Outros;Tinto;7265666
1971;Outros;Branco;15655709
1971;Outros;Rosado;664687
1971;Suco;SUCO;2296654
1971;Outros;Suco de uva integral;2296654
1971;Outros;Suco de uva concentrado;0
1971;Outros;Suco de uva adoçado;0
1971;Outros;Suco de uva orgânico;0
1971;Outros;Suco de uva reconstituído;0
1971;Derivados;DERIVADOS;13280518
1971;Outros;Espumante;0
1971;Outros;Espumante moscatel;0
1971;Outros;Base espumante;0
1971;Outros;Base espumante moscatel;0
1971;Outros;Base Champenoise champanha;0
1971;Outros;Base Charmat champanha;0
1971;Outros;Bebida de uva;0
1971;Outros;Polpa de uva;0
1971;Outros;Mosto simples;7646774
1971;Outros;Mosto concentrado;0
1971;Outros;Mosto de uva com bagaço;0
1971;Outros;Mosto dessulfitado;0
1971;Outros;Mistelas;818400
1971;Outros;Néctar de uva;0
1971;Outros;Licorosos;270000
1971;Outros;Compostos;45000
1971;Outros;Jeropiga;0
1971;Outros;Filtrado;0
1971;Outros;Frisante;0
1971;Outros;Vinho leve;0
1971;Outros;Vinho licoroso;0
1971;Outros;Brandy;0
1971;Outros;Destilado;0
1971;Outros;Bagaceira;913200
1971;Outros;Licor de bagaceira;0
1971;Outros;Vinagre;21500
1971;Outros;Borra líquida;3565644
1971;Outros;Borra seca;0
1971;Outros;Vinho Composto;0
1971;Outros;Pisco;0
1971;Outros;Vinho orgânico;0
1971;Outros;Espumante orgânico;0
1971;Outros;Destilado alcoólico simples de bagaceira;0
1971;Outros;Vinho acidificado;0
1971;Outros;Mosto parcialmente fermentado;0
1971;Outros;Outros derivados;0
1972;Vinho de Mesa;VINHO DE MESA;146953297
1972;Outros;Tinto;118180926
1972;Outros;Branco;1812367
1972;Outros;Rosado;26960004
1972;Vinho Fino de Mesa;VINHO FINO DE MESA (VINIFERA);21078771
1972;Outros;Tinto;6782837
1972;Outros;Branco;13289304
1972;Outros;Rosado;1006630
1972;Suco;SUCO;3509440
1972;Outros;Suco de uva integral;3509440
1972;Outros;Suco de uva concentrado;0
1972;Outros;Suco de uva adoçado;0
1972;Outros;Suco de uva orgânico;0
1972;Outros;Suco de uva reconstituído;0
1972;Derivados;DERIVADOS;12314509
1972;Outros;Espumante;0
1972;Outros;Espumante moscatel;0
1972;Outros;Base espumante;0
1972;Outros;Base espumante moscatel;0
1972;Outros;Base Champenoise champanha;0
1972;Outros;Base Charmat champanha;0
1972;Outros;Bebida de uva;0
1972;Outros;Polpa de uva;0
1972;Outros;Mosto simples;6051822
1972;Outros;Mosto concentrado;0
1972;Outros;Mosto de uva com bagaço;0
1972;Outros;Mosto dessulfitado;0
1972;Outros;Mistelas;871200
1972;Outros;Néctar de uva;0
1972;Outros;Licorosos;254600
1972;Outros;Compostos;1358300
1972;Outros;Jeropiga;0
1972;Outros;Filtrado;0
1972;Outros;Frisante;0
1972;Outros;Vinho leve;0
1972;Outros;Vinho licoroso;0
1972;Outros;Brandy;0
1972;Outros;Destilado;0
1972;Outros;Bagaceira;755350
1972;Outros;Licor de bagaceira;0
1972;Outros;Vinagre;8200
1972;Outros;Borra líquida;3015037
1972;Outros;Borra seca;0
1972;Outros;Vinho Composto;0
1972;Outros;Pisco;0
1972;Outros;Vinho orgânico;0
1972;Outros;Espumante orgânico;0
1972;Outros;Destilado alcoólico simples de bagaceira;0
1972;Outros;Vinho acidificado;0
