ano;tipo_uva;cultivar;quantidade
1970;Tintas;TINTAS;56976
1970;Outros;Alphonse Lavallee;31878
1970;Outros;Moscato de Hamburgo;25098
1970;Brancas;BRANCAS;3900
1970;Outros;Cardinal;0
1970;Outros;Golden Queen;167
1970;Outros;Patrícia;0
1970;Outros;Perlona;0
1970;Outros;Italia;3733
1970;Outros;Rubi (Itália, Itália Ro);0
1971;Tintas;TINTAS;43390
1971;Outros;Alphonse Lavallee;2333
1971;Outros;Moscato de Hamburgo;41057
1971;Brancas;BRANCAS;16335
1971;Outros;Cardinal;0
1971;Outros;Golden Queen;8654
1971;Outros;Patrícia;0
1971;Outros;Perlona;0
1971;Outros;Italia;7681
1971;Outros;Rubi (Itália, Itália Ro);0
1972;Tintas;TINTAS;4428
1972;Outros;Alphonse Lavallee;170
1972;Outros;Moscato de Hamburgo;4258
1972;Brancas;BRANCAS;6829
1972;Outros;Cardinal;0
1972;Outros;Golden Queen;657
1972;Outros;Patrícia;0
1972;Outros;Perlona;4027
1972;Outros;Italia;2145
1972;Outros;Rubi (Itália, Itália Ro);0
1973;Tintas;TINTAS;8939
1973;Outros;Alphonse Lavallee;7690
1973;Outros;Moscato de Hamburgo;1249
1973;Brancas;BRANCAS;8052
1973;Outros;Cardinal;0
1973;Outros;Golden Queen;7312
1973;Outros;Patrícia;0
1973;Outros;Perlona;0
1973;Outros;Italia;740
1973;Outros;Rubi (Itália, Itália Ro);0
1974;Tintas;TINTAS;125563
1974;Outros;Alphonse Lavallee;124762
1974;Outros;Moscato de Hamburgo;801
1974;Brancas;BRANCAS;278951
1974;Outros;Cardinal;0
1974;Outros;Golden Queen;8467
1974;Outros;Patrícia;0
1974;Outros;Perlona;1695
1974;Outros;Italia;268789
1974;Outros;Rubi (Itália, Itália Ro);0
1975;Tintas;TINTAS;183731
1975;Outros;Alphonse Lavallee;74293
1975;Outros;Moscato de Hamburgo;109438
1975;Brancas;BRANCAS;587745
1975;Outros;Cardinal;0
1975;Outros;Golden Queen;6805
1975;Outros;Patrícia;0
1975;Outros;Perlona;1223
1975;Outros;Italia;579717
1975;Outros;Rubi (Itália, Itália Ro);0
1976;Tintas;TINTAS;88512
1976;Outros;Alphonse Lavallee;23684
1976;Outros;Moscato de Hamburgo;64828
1976;Brancas;BRANCAS;153445
1976;Outros;Cardinal;0
1976;Outros;Golden Queen;0
1976;Outros;Patrícia;0
1976;Outros;Perlona;1406
1976;Outros;Italia;152039
1976;Outros;Rubi (Itália, Itália Ro);0
1977;Tintas;TINTAS;113591
1977;Outros;Alphonse Lavallee;24430
1977;Outros;Moscato de Hamburgo;89161
1977;Brancas;BRANCAS;230332
1977;Outros;Cardinal;0
1977;Outros;Golden Queen;2391
1977;Outros;Patrícia;0
1977;Outros;Perlona;0
1977;Outros;Italia;227941
1977;Outros;Rubi (Itália, Itália Ro);0
1978;Tintas;TINTAS;107994
1978;Outros;Alphonse Lavallee;17339
1978;Outros;Moscato de Hamburgo;90655
1978;Brancas;BRANCAS;244151
1978;Outros;Cardinal;0
1978;Outros;Golden Queen;8715
1978;Outros;Patrícia;0
1978;Outros;Perlona;0
1978;Outros;Italia;235436
1978;Outros;Rubi (Itália, Itália Ro);0
1979;Tintas;TINTAS;160889
1979;Outros;Alphonse Lavallee;88822
1979;Outros;Moscato de Hamburgo;72067
1979;Brancas;BRANCAS;148002
1979;Outros;Cardinal;0
1979;Outros;Golden Queen;2051
1979;Outros;Patrícia;0
1979;Outros;Perlona;11377
1979;Outros;Italia;134574
1979;Outros;Rubi (Itália, Itália Ro);0
1980;Tintas;TINTAS;68763
1980;Outros;Alphonse Lavallee;23451
1980;Outros;Moscato de Hamburgo;45312
1980;Brancas;BRANCAS;74744
1980;Outros;Cardinal;2235
1980;Outros;Golden Queen;2765
1980;Outros;Patrícia;0
1980;Outros;Perlona;10722
1980;Outros;Italia;59022
1980;Outros;Rubi (Itália, Itália Ro);0
1981;Tintas;TINTAS;55774
1981;Outros;Alphonse Lavallee;12094
1981;Outros;Moscato de Hamburgo;43680
1981;Brancas;BRANCAS;51316
1981;Outros;Cardinal;0
1981;Outros;Golden Queen;0
1981;Outros;Patrícia;0
1981;Outros;Perlona;14467
1981;Outros;Italia;36849
1981;Outros;Rubi (Itália, Itália Ro);0
1982;Tintas;TINTAS;27910
1982;Outros;Alphonse Lavallee;7662
1982;Outros;Moscato de Hamburgo;20248
1982;Brancas;BRANCAS;53160
1982;Outros;Cardinal;0
1982;Outros;Golden Queen;0
1982;Outros;Patrícia;0
1982;Outros;Perlona;13971
1982;Outros;Italia;39189
1982;Outros;Rubi (Itália, Itália Ro);0
1983;Tintas;TINTAS;8154
