ano;categoria_principal;produto;quantidade
1970;Vinho de Mesa;VINHO DE MESA;98327606
1970;Outros;Tinto;83300735
1970;Outros;Rosado;107681
1970;Outros;Branco;14919190
1970;Outros;VINHO  FINO DE MESA;4430629
1970;Outros;Tinto;435354
1970;Outros;Rosado;183234
1970;Outros;Branco;3812041
1970;Outros;VINHO FRIZANTE;466480
1970;Outros;VINHO ORGÂNICO;0
1970;Outros;VINHO ESPECIAL;7325789
1970;Outros;Tinto;4730346
1970;Outros;Rosado;1229564
1970;Outros;Branco;1365879
1970;Outros;ESPUMANTES;2743678
1970;Outros;Espumante  Moscatel;0
1970;Outros;Espumante;0
1970;Outros;Espumante Orgânico;0
1970;Suco;SUCO DE UVAS;2626855
1970;Outros;Suco Natural Integral;0
1970;Outros;Suco Adoçado;0
1970;Outros;Suco Reprocessado/reconstituido;0
1970;Outros;Suco Orgânico;0
1970;Outros;Outros sucos de uvas;0
1970;Suco;SUCO DE UVAS CONCENTRADO;0
1970;Outros;OUTROS PRODUTOS COMERCIALIZADOS;19844550
1970;Outros;Outros vinhos (sem informação detalhada);0
1970;Outros;Agrin (fermentado, acetico misto);0
1970;Outros;Aguardente de vinho 50°gl;0
1970;Outros;Alcool vinico;0
1970;Outros;Bagaceira (graspa);1192987
1970;Outros;Base champenoise champanha;0
1970;Outros;Base charmat champanha;0
1970;Outros;Base espumante moscatel;0
1970;Outros;Bebida de uva;0
1970;Outros;Borra líquida;0
1970;Outros;Borra seca;0
1970;Outros;Brandy (conhaque);9388296
1970;Outros;Cooler;0
1970;Outros;Coquetel com vinho;0
1970;Outros;Destilado de vinho;533987
1970;Outros;Filtrado doce;346403
1970;Outros;Jeropiga;0
1970;Outros;Mistelas;178350
1970;Outros;Mosto concentrado;44971
1970;Outros;Mosto de uva;0
1970;Outros;Mosto sulfitado;401030
1970;Outros;Nectar de uva;0
1970;Outros;Outros produtos;0
1970;Outros;Polpa de uva;0
1970;Outros;Preparado líquido para refresco;0
1970;Outros;Refrigerante +50% suco;0
1970;Outros;Sangria;0
1970;Outros;Vinagre balsamico;0
1970;Outros;Vinagre duplo;0
1970;Outros;Vinagre simples;1359297
1970;Outros;Vinho acetificado;0
1970;Outros;Vinho base para espumantes;0
1970;Outros;Vinho composto;3386173
1970;Outros;Vinho licoroso;3013056
1970;Outros;Vinho leve;0
1970;Outros;Vinho gaseificado;0
1971;Vinho de Mesa;VINHO DE MESA;114399031
1971;Outros;Tinto;98522869
1971;Outros;Rosado;542274
1971;Outros;Branco;15333888
1971;Outros;VINHO  FINO DE MESA;4840369
1971;Outros;Tinto;428927
1971;Outros;Rosado;227299
1971;Outros;Branco;4184143
1971;Outros;VINHO FRIZANTE;358116
1971;Outros;VINHO ORGÂNICO;0
1971;Outros;VINHO ESPECIAL;7824931
1971;Outros;Tinto;4802828
1971;Outros;Rosado;1662821
1971;Outros;Branco;1359282
1971;Outros;ESPUMANTES;2907289
1971;Outros;Espumante  Moscatel;0
1971;Outros;Espumante;0
1971;Outros;Espumante Orgânico;0
1971;Suco;SUCO DE UVAS;2745249
1971;Outros;Suco Natural Integral;0
1971;Outros;Suco Adoçado;0
1971;Outros;Suco Reprocessado/reconstituido;0
1971;Outros;Suco Orgânico;0
1971;Outros;Outros sucos de uvas;0
1971;Suco;SUCO DE UVAS CONCENTRADO;0
1971;Outros;OUTROS PRODUTOS COMERCIALIZADOS;20351384
1971;Outros;Outros vinhos (sem informação detalhada);0
1971;Outros;Agrin (fermentado, acetico misto);0
1971;Outros;Aguardente de vinho 50°gl;0
1971;Outros;Alcool vinico;0
1971;Outros;Bagaceira (graspa);1111014
1971;Outros;Base champenoise champanha;0
1971;Outros;Base charmat champanha;0
1971;Outros;Base espumante moscatel;0
1971;Outros;Bebida de uva;0
1971;Outros;Borra líquida;0
1971;Outros;Borra seca;0
1971;Outros;Brandy (conhaque);9893167
1971;Outros;Cooler;0
1971;Outros;Coquetel com vinho;0
1971;Outros;Destilado de vinho;1023876
1971;Outros;Filtrado doce;432991
1971;Outros;Jeropiga;0
1971;Outros;Mistelas;81510
1971;Outros;Mosto concentrado;20502
1971;Outros;Mosto de uva;0
1971;Outros;Mosto sulfitado;410850
1971;Outros;Nectar de uva;0
